N 11000 train 10265 val 400
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/310 [00:00<?, ?it/s]Loading weights:   0%|          | 1/310 [00:00<00:59,  5.20it/s]Loading weights:  17%|█▋        | 53/310 [00:00<00:01, 222.52it/s]Loading weights:  27%|██▋       | 84/310 [00:00<00:00, 247.27it/s]Loading weights:  37%|███▋      | 114/310 [00:00<00:00, 255.71it/s]Loading weights:  51%|█████     | 157/310 [00:00<00:00, 249.28it/s]Loading weights:  60%|██████    | 186/310 [00:00<00:00, 260.16it/s]Loading weights:  69%|██████▉   | 214/310 [00:00<00:00, 264.77it/s]Loading weights:  78%|███████▊  | 242/310 [00:01<00:00, 261.99it/s]Loading weights:  87%|████████▋ | 269/310 [00:01<00:00, 261.71it/s]Loading weights:  97%|█████████▋| 301/310 [00:01<00:00, 274.65it/s]Loading weights: 100%|██████████| 310/310 [00:01<00:00, 255.64it/s]
[transformers] [1mQwen3Model LOAD REPORT[0m from: Qwen/Qwen3-1.7B
Key            | Status     |  | 
---------------+------------+--+-
lm_head.weight | UNEXPECTED |  | 

Notes:
- UNEXPECTED:	can be ignored when loading from different task/architecture; not ok if you expect identical arch.
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: joshuadavid to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run hgoecgxn
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /workspace/hex-rl-cot-deconfusion/wandb/run-20260812_071800-hgoecgxn
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run armF_moves_r2
wandb: ⭐️ View project at https://wandb.ai/joshuadavid/hex-rl-cot-deconfusion
wandb: 🚀 View run at https://wandb.ai/joshuadavid/hex-rl-cot-deconfusion/runs/hgoecgxn
step 1825 loss 0.5581 col 0.469 pca 0.696 render 0.509 (0.64s/step)
step 1850 loss 0.5551 col 0.505 pca 0.688 render 0.472 (0.64s/step)
step 1875 loss 0.5647 col 0.479 pca 0.692 render 0.523 (0.64s/step)
step 1900 loss 0.5814 col 0.511 pca 0.710 render 0.522 (0.64s/step)
step 1925 loss 0.5482 col 0.468 pca 0.682 render 0.494 (0.64s/step)
step 1950 loss 0.5691 col 0.483 pca 0.718 render 0.506 (0.63s/step)
step 1975 loss 0.5341 col 0.477 pca 0.653 render 0.472 (0.63s/step)
step 2000 loss 0.5295 col 0.449 pca 0.664 render 0.475 (0.63s/step)
step 2000 val R2 mean: col 0.5367 pca 0.2354 render 0.5380
step 2025 loss 0.5404 col 0.472 pca 0.672 render 0.477 (0.64s/step)
step 2050 loss 0.5628 col 0.503 pca 0.705 render 0.481 (0.64s/step)
step 2075 loss 0.5363 col 0.479 pca 0.656 render 0.473 (0.64s/step)
step 2100 loss 0.5640 col 0.522 pca 0.670 render 0.500 (0.64s/step)
step 2125 loss 0.5113 col 0.429 pca 0.640 render 0.465 (0.64s/step)
step 2150 loss 0.5520 col 0.461 pca 0.677 render 0.518 (0.64s/step)
step 2175 loss 0.5403 col 0.497 pca 0.678 render 0.446 (0.64s/step)
step 2200 loss 0.4995 col 0.443 pca 0.620 render 0.436 (0.63s/step)
step 2225 loss 0.5057 col 0.423 pca 0.597 render 0.498 (0.63s/step)
step 2250 loss 0.5272 col 0.450 pca 0.644 render 0.487 (0.63s/step)
step 2250 val R2 mean: col 0.5461 pca 0.2660 render 0.5441
step 2275 loss 0.5736 col 0.500 pca 0.698 render 0.523 (0.64s/step)
step 2300 loss 0.5220 col 0.432 pca 0.635 render 0.499 (0.64s/step)
step 2325 loss 0.5505 col 0.482 pca 0.683 render 0.486 (0.64s/step)
step 2350 loss 0.5386 col 0.459 pca 0.636 render 0.521 (0.64s/step)
step 2375 loss 0.4845 col 0.393 pca 0.565 render 0.495 (0.64s/step)
step 2400 loss 0.5048 col 0.436 pca 0.597 render 0.482 (0.64s/step)
step 2425 loss 0.5196 col 0.500 pca 0.632 render 0.427 (0.64s/step)
step 2450 loss 0.4462 col 0.381 pca 0.544 render 0.414 (0.63s/step)
step 2475 loss 0.5279 col 0.444 pca 0.618 render 0.521 (0.63s/step)
step 2500 loss 0.5010 col 0.447 pca 0.591 render 0.465 (0.63s/step)
step 2500 val R2 mean: col 0.5544 pca 0.2928 render 0.5463
step 2525 loss 0.6010 col 0.537 pca 0.706 render 0.560 (0.64s/step)
step 2550 loss 0.5172 col 0.450 pca 0.616 render 0.485 (0.64s/step)
step 2575 loss 0.4165 col 0.341 pca 0.470 render 0.438 (0.64s/step)
